date,ttf_price_eur_mwh,volume,storage_pct_full,storage_twh
2026-03-23,56.68299865722656,53.0,,
2026-03-24,54.04100036621094,8.0,,
2026-03-25,52.816001892089844,110.0,,
2026-03-26,55.21799850463867,190.0,,
2026-03-27,54.176998138427734,86.0,28.15,321.5738
2026-03-28,,,28.13,321.0274
2026-03-29,,,28.1,321.107
2026-03-30,54.81399917602539,20.0,27.98,319.6875
2026-03-31,50.75699996948242,19.0,27.62,313.7922
2026-04-01,47.5099983215332,108.0,27.89,316.1464
2026-04-02,50.04399871826172,0.0,27.88,315.6317
2026-04-03,,,27.93,316.2059
2026-04-04,,,28.15,318.6326
2026-04-05,,,28.38,321.3078
2026-04-06,50.04399871826172,0.0,28.58,323.5249
2026-04-07,53.24700164794922,95.0,28.74,325.3243
2026-04-08,45.30099868774414,58.0,28.89,327.014
2026-04-09,46.17499923706055,48.0,29.01,328.539
2026-04-10,43.63800048828125,54.0,29.14,329.9205
2026-04-11,,,29.36,332.4353
2026-04-12,,,29.5,333.9792
2026-04-13,46.41299819946289,51.0,29.52,334.2243
2026-04-14,43.3650016784668,56.0,29.51,334.1328
2026-04-15,41.39899826049805,1.0,29.55,334.7714
2026-04-16,42.422000885009766,379.0,29.7,336.4578
2026-04-17,38.76900100708008,46.0,29.92,338.9122
2026-04-18,,,30.2,342.0918
2026-04-19,,,30.46,345.0441
2026-04-20,40.29199981689453,194.0,30.61,346.7528
2026-04-21,41.930999755859375,39.0,30.71,347.8268
2026-04-22,43.551998138427734,62.0,30.82,349.1441
2026-04-23,44.49599838256836,18.0,30.95,350.6005
2026-04-24,44.861000061035156,189.0,31.19,353.2082
2026-04-25,,,31.47,356.4516
2026-04-26,,,31.75,359.6138
2026-04-27,44.645999908447266,66.0,31.97,362.1243
2026-04-28,43.59400177001953,93.0,32.23,365.0716
2026-04-29,46.85300064086914,5.0,32.49,367.9275
2026-04-30,45.98699951171875,14.0,32.73,370.7137
2026-05-01,45.76599884033203,344.0,33.06,374.3047
2026-05-02,,,33.43,378.4168
2026-05-03,,,33.78,382.4172
2026-05-04,48.143001556396484,86.0,34.05,385.5517
2026-05-05,46.92599868774414,29.0,34.24,387.6695
2026-05-06,43.902000427246094,19.0,34.38,389.2507
2026-05-07,43.56100082397461,31.0,34.5,390.5793
2026-05-08,44.143001556396484,39.0,34.73,393.1524
2026-05-09,,,35.04,396.5856
2026-05-10,,,35.35,400.0892
2026-05-11,46.233001708984375,27.0,35.56,402.5463
2026-05-12,46.683998107910156,3.0,35.71,404.1957
2026-05-13,46.91999816894531,21.0,35.83,405.5868
2026-05-14,47.654998779296875,27.0,35.98,407.3007
2026-05-15,50.16699981689453,1.0,36.14,409.0593
2026-05-16,,,36.34,411.3285
2026-05-17,,,36.56,413.7895
2026-05-18,50.25,254.0,36.72,415.6689
2026-05-19,51.816001892089844,32.0,36.87,417.3713
2026-05-20,49.42499923706055,114.0,36.99,418.6346
2026-05-21,49.40800094604492,94.0,37.18,420.8071
2026-05-22,48.68299865722656,45.0,37.45,423.8875
2026-05-23,,,37.83,428.1555
2026-05-24,,,38.21,432.5348
2026-05-25,,,38.52,435.8617
2026-05-26,47.47200012207031,94.0,38.83,439.2978
2026-05-27,46.41299819946289,144.0,39.13,442.7626
2026-05-28,46.92100143432617,8.0,39.42,445.9829
2026-05-29,46.000999450683594,2.0,39.73,449.5794
2026-05-30,,,40.09,453.5937
2026-05-31,,,40.47,457.9534
2026-06-01,49.09000015258789,22.0,40.76,461.182
2026-06-02,47.606998443603516,27.0,41.03,464.1877
